molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL220885,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OCc1cccc2ccccc12,inactive,246.244,0.9748999999999999,1.0,5.0,5.241088107602026
CHEMBL436515,CN(c1ccc([N+](=O)[O-])cc1OCCc1ccccc1)S(C)(=O)=O,active,328.39,2.7021000000000006,0.0,5.0,6.2839966563652006
CHEMBL374651,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OCCc1ccccc1,active,350.3960000000001,3.162140000000001,1.0,5.0,6.638272163982407
CHEMBL426541,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OCc1ccc(-c2ccccc2)cc1,active,251.329,3.5336000000000016,0.0,2.0,6.070581074285707
CHEMBL220793,CN(c1ccc([N+](=O)[O-])cc1OCc1ccc(Br)cc1)S(C)(=O)=O,active,361.39700000000016,4.129200000000003,1.0,5.0,6.481486060122113
CHEMBL220829,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OCc1ccc(Br)cc1,active,256.261,2.0463999999999998,0.0,5.0,5.232844133917819
CHEMBL220792,CN(c1ccc([N+](=O)[O-])cc1OCc1ccc(Cl)cc1)S(C)(=O)=O,active,319.36400000000003,3.979020000000002,0.0,5.0,5.619788758288394
CHEMBL223162,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OCc1ccccc1-c1ccccc1,active,150.177,1.5186000000000002,0.0,2.0,6.585026652029182
CHEMBL374535,CN(c1ccc([N+](=O)[O-])cc1OCc1ccc2ccccc2c1)S(C)(=O)=O,active,228.247,2.9738000000000016,3.0,3.0,5.5718652059712115
CHEMBL223161,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OCc1ccc2ccccc2c1,active,246.26199999999997,1.8673999999999997,1.0,4.0,5.663540266151471
CHEMBL376303,CN(c1ccc([N+](=O)[O-])cc1OCc1ccc([N+](=O)[O-])cc1)S(C)(=O)=O,active,196.24599999999998,1.4092,1.0,3.0,6.309803919971486
CHEMBL223109,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OCc1ccc([N+](=O)[O-])cc1,active,242.23,3.2165999999999997,3.0,4.0,6.3979400086720375
CHEMBL222250,CN(c1ccc([N+](=O)[O-])cc1OCc1ccccc1)S(C)(=O)=O,active,324.3760000000001,5.028300000000002,2.0,4.0,6.0915149811213505
CHEMBL223108,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OCc1ccccc1,active,308.333,4.695200000000004,2.0,4.0,5.669586226650809
CHEMBL203869,CC(C)Oc1cc([N+](=O)[O-])ccc1N(C)S(C)(=O)=O,active,272.256,2.4051000000000005,4.0,5.0,5.55129368009492
CHEMBL274387,CC(C)Oc1cc([N+](=O)[O-])ccc1NS(C)(=O)=O,active,324.37600000000003,4.208200000000004,3.0,4.0,5.231361898752385
CHEMBL202470,CCCCCCCCCOc1cc([N+](=O)[O-])ccc1N(C)S(C)(=O)=O,active,324.3760000000001,4.208200000000005,3.0,4.0,5.402304814074488
CHEMBL202469,CCCCCCCCCOc1cc([N+](=O)[O-])ccc1NS(C)(=O)=O,active,340.37500000000006,3.913800000000004,4.0,5.0,6.040958607678906
CHEMBL202452,CCCCCCOc1cc([N+](=O)[O-])ccc1N(C)S(C)(=O)=O,active,302.37000000000006,3.593300000000002,1.0,4.0,5.347753658996677
CHEMBL202471,CCCCCCOc1cc([N+](=O)[O-])ccc1NS(C)(=O)=O,active,288.343,3.290300000000002,2.0,4.0,5.573488738635425
CHEMBL382482,CCCOc1cc([N+](=O)[O-])ccc1N(C)S(C)(=O)=O,active,258.31699999999995,3.2817000000000016,2.0,3.0,6.119186407719209
CHEMBL204184,CCCOc1cc([N+](=O)[O-])ccc1NS(C)(=O)=O,active,304.254,1.1862999999999995,5.0,7.0,5.600326278518962
CHEMBL202030,CCC(CC)Oc1cc([N+](=O)[O-])ccc1N(C)S(C)(=O)=O,active,370.3570000000001,3.4967000000000033,5.0,7.0,6.638272163982407
CHEMBL202474,CCC(CC)Oc1cc([N+](=O)[O-])ccc1NS(C)(=O)=O,active,288.255,1.4806999999999992,4.0,6.0,6.522878745280337
CHEMBL204502,CN(c1ccc([N+](=O)[O-])cc1OCC1CCCCC1)S(C)(=O)=O,active,324.3760000000001,4.313000000000002,2.0,4.0,6.017728766960431
CHEMBL204501,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OCC1CCCCC1,active,424.4930000000001,4.498100000000007,4.0,6.0,5.91721462968355
CHEMBL202473,CN(c1ccc([N+](=O)[O-])cc1OC1CCCC1)S(C)(=O)=O,active,242.27400000000003,3.164100000000002,2.0,3.0,6.356547323513812
CHEMBL437497,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OC1CCCC1,active,356.4180000000001,4.387000000000003,3.0,5.0,6.060480747381382
CHEMBL372835,COc1cc([N+](=O)[O-])ccc1N(C)S(C)(=O)=O,active,326.43600000000004,4.790400000000004,2.0,3.0,4.6020599913279625
CHEMBL381883,COc1cc([N+](=O)[O-])ccc1NS(C)(=O)=O,active,312.409,4.4874000000000045,3.0,3.0,4.6020599913279625
CHEMBL204183,CN(c1ccc([N+](=O)[O-])cc1OC1CCCCC1)S(C)(=O)=O,active,244.29000000000005,2.9787000000000017,3.0,3.0,6.327902142064283
CHEMBL220886,Cc1ccc(C)c(COc2cc([N+](=O)[O-])ccc2NS(C)(=O)=O)c1,active,310.393,4.672800000000005,2.0,3.0,6.431798275933005
CHEMBL206300,COc1ccc2c(c1)C=C(c1cccnc1)C2,active,452.5030000000003,5.526200000000005,4.0,7.0,5.2441251443275085
CHEMBL67842,COc1ccc2c(c1)CCC1C(c3ccncc3)C21,active,438.47600000000017,5.223200000000007,5.0,7.0,7.161150909262744
CHEMBL201831,COc1ccc2cc(C(c3ccc(C)cc3)n3cncn3)oc2c1,inactive,310.34900000000005,4.725300000000005,3.0,4.0,7.0
CHEMBL65590,Oc1cccc2c1CCC1C(c3ccncc3)C21,inactive,258.317,3.2817000000000016,2.0,3.0,5.301029995663981
CHEMBL24593,c1ccc2c(c1)CC(Cc1ccncc1)C2,inactive,272.25600000000003,2.5099000000000014,3.0,5.0,5.619788758288394
CHEMBL157925,O=c1ccoc2cc(Cn3cnnc3)ccc12,active,340.37500000000006,4.018600000000004,3.0,5.0,5.431798275933005
CHEMBL195996,c1ccc2cc(-n3ccnc3)ccc2c1,active,354.35800000000006,3.7911000000000032,4.0,6.0,5.552841968657781
CHEMBL438549,COc1ccc2c(c1)CCC1C(c3cnc[nH]3)C21,active,356.37400000000014,2.878700000000001,3.0,6.0,5.795880017344075
CHEMBL465435,O=c1ccc2c(o1)CCCC2,inactive,310.34900000000005,4.725300000000005,3.0,4.0,7.3979400086720375
CHEMBL165,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,active,502.51900000000023,4.856100000000006,5.0,8.0,7.3979400086720375
CHEMBL227113,CC1(C)C[C@H](O)C[C@@]2(C)OC(=O)C=C12,inactive,422.47700000000015,5.517600000000007,4.0,6.0,7.3979400086720375
CHEMBL512578,Oc1cc(O)cc(-c2cc3ccc(O)cc3o2)c1,active,223.279,2.680480000000001,0.0,3.0,7.3979400086720375
CHEMBL463435,COc1cc(O)cc(-c2cc3ccc(O)cc3o2)c1CC=C(C)C,inactive,456.71100000000035,7.089500000000008,2.0,2.0,7.3979400086720375
CHEMBL463241,CC1(C)C=Cc2c(O)cc(-c3cc4ccc(O)cc4o3)cc2O1,inactive,454.69500000000033,7.297700000000008,1.0,2.0,7.3979400086720375
